name,is_fiscal_paradise,code,id
AMERICAN SAMOA,0,16,tax_country_16
BOUVET ISLAND,0,74,tax_country_74
ARGENTINA,0,101,tax_country_101
BOLIVIA,0,102,tax_country_102
BRASIL,0,103,tax_country_103
CANADA,0,104,tax_country_104
COLOMBIA,0,105,tax_country_105
COSTA RICA,0,106,tax_country_106
CUBA,0,107,tax_country_107
CHILE,0,108,tax_country_108
ANGUILA,1,109,tax_country_109
ESTADOS UNIDOS,0,110,tax_country_110
GUATEMALA,0,111,tax_country_111
HAITI,0,112,tax_country_112
HONDURAS,0,113,tax_country_113
JAMAICA,0,114,tax_country_114
MALVINAS ISLAS,0,115,tax_country_115
MEXICO,0,116,tax_country_116
NICARAGUA,0,117,tax_country_117
PANAMA,0,118,tax_country_118
PARAGUAY,0,119,tax_country_119
PERU,0,120,tax_country_120
PUERTO RICO,1,121,tax_country_121
REPUBLICA DOMINICANA,0,122,tax_country_122
EL SALVADOR,0,123,tax_country_123
TRINIDAD Y TOBAGO,0,124,tax_country_124
URUGUAY,0,125,tax_country_125
VENEZUELA,0,126,tax_country_126
CURAZAO,1,127,tax_country_127
BAHAMAS,1,129,tax_country_129
BARBADOS,1,130,tax_country_130
GRANADA,1,131,tax_country_131
GUYANA,0,132,tax_country_132
SURINAM,0,133,tax_country_133
ANTIGUA Y BARBUDA,1,134,tax_country_134
BELICE,1,135,tax_country_135
DOMINICA,0,136,tax_country_136
SAN CRISTOBAL Y NEVIS,1,137,tax_country_137
SANTA LUCIA,0,138,tax_country_138
SAN VICENTE Y LAS GRANAD.,0,139,tax_country_139
ARUBA,1,141,tax_country_141
BERMUDA,1,142,tax_country_142
GUADALUPE,0,143,tax_country_143
GUYANA FRANCESA,0,144,tax_country_144
ISLAS CAIMAN,1,145,tax_country_145
ISLAS VIRGENES (BRITANICAS),0,146,tax_country_146
JOHNSTON ISLA,0,147,tax_country_147
MARTINICA,0,148,tax_country_148
MONTSERRAT ISLA,0,149,tax_country_149
TURCAS  Y CAICOS ISLAS,0,151,tax_country_151
"VIRGENES,ISLAS(NORT.AMER.)",0,152,tax_country_152
ALBANIA,0,201,tax_country_201
ALEMANIA,0,202,tax_country_202
AUSTRIA,0,203,tax_country_203
BELGICA,0,204,tax_country_204
BULGARIA,0,205,tax_country_205
ALBORAN Y PEREJIL,0,207,tax_country_207
DINAMARCA,0,208,tax_country_208
ESPAÑA,0,209,tax_country_209
FRANCIA,0,211,tax_country_211
FINLANDIA,0,212,tax_country_212
REINO UNIDO,0,213,tax_country_213
GRECIA,0,214,tax_country_214
PAISES BAJOS (HOLANDA),1,215,tax_country_215
HUNGRIA,0,216,tax_country_216
IRLANDA,0,217,tax_country_217
ISLANDIA,0,218,tax_country_218
ITALIA,1,219,tax_country_219
LUXEMBURGO,1,220,tax_country_220
MALTA,0,221,tax_country_221
NORUEGA,1,222,tax_country_222
POLONIA,0,223,tax_country_223
PORTUGAL,1,224,tax_country_224
RUMANIA,0,225,tax_country_225
SUECIA,0,226,tax_country_226
SUIZA,0,227,tax_country_227
CANARIAS  ISLAS,0,228,tax_country_228
UCRANIA,0,229,tax_country_229
RUSIA,0,230,tax_country_230
YUGOSLAVIA,0,231,tax_country_231
ANDORRA,0,233,tax_country_233
LIECHTENSTEIN,0,234,tax_country_234
MONACO,0,235,tax_country_235
SAN MARINO,0,237,tax_country_237
VATICANO (SANTA SEDE),0,238,tax_country_238
GIBRALTAR,1,239,tax_country_239
BELARUS,0,241,tax_country_241
BOSNIA Y HERZEGOVINA,0,242,tax_country_242
CROACIA,0,243,tax_country_243
ESLOVENIA,0,244,tax_country_244
ESTONIA,0,245,tax_country_245
GEORGIA,0,246,tax_country_246
GROENLANDIA,1,247,tax_country_247
LETONIA,0,248,tax_country_248
LITUANIA,0,249,tax_country_249
MOLDOVA,0,250,tax_country_250
MACEDONIA,0,251,tax_country_251
ESLOVAQUIA,0,252,tax_country_252
ISLAS FAROE,0,253,tax_country_253
FRENCH SOUTHERN TERRITORIES,0,260,tax_country_260
AFGANISTAN,0,301,tax_country_301
ARABIA SAUDITA,0,302,tax_country_302
MYANMAR (BURMA),0,303,tax_country_303
CAMBOYA,0,304,tax_country_304
COREA NORTE,0,306,tax_country_306
TAIWAN (CHINA),0,307,tax_country_307
FILIPINAS,0,308,tax_country_308
INDIA,0,309,tax_country_309
INDONESIA,0,310,tax_country_310
IRAK,0,311,tax_country_311
IRAN (REPUBLICA ISLAMICA),0,312,tax_country_312
ISRAEL,0,313,tax_country_313
JAPON,0,314,tax_country_314
JORDANIA,0,315,tax_country_315
KUWAIT,1,316,tax_country_316
"LAOS, REP. POP. DEMOC.",0,317,tax_country_317
LIBANO,0,318,tax_country_318
MALASIA,0,319,tax_country_319
MONGOLIA (MANCHURIA),0,321,tax_country_321
PAKISTAN,0,322,tax_country_322
SIRIA,0,323,tax_country_323
TAILANDIA,0,325,tax_country_325
BAHREIN,1,327,tax_country_327
BANGLADESH,0,328,tax_country_328
BUTAN,0,329,tax_country_329
COREA DEL SUR,0,330,tax_country_330
CHINA POPULAR,0,331,tax_country_331
