id,name,state_id
opa_ecomm_essentials.city00000001,CUENCA,AZUAY
opa_ecomm_essentials.city00000002,CAPULISPAMBA,AZUAY
opa_ecomm_essentials.city00000003,BAÑOS (AZ),AZUAY
opa_ecomm_essentials.city00000004,RICAURTE (AZ),AZUAY
opa_ecomm_essentials.city00000005,SAN JOAQUIN,AZUAY
opa_ecomm_essentials.city00000006,SAYAUSI,AZUAY
opa_ecomm_essentials.city00000007,TURI,AZUAY
opa_ecomm_essentials.city00000008,SININCAY (RACAR),AZUAY
opa_ecomm_essentials.city00000009,CAMILO PONCE ENRIQUEZ,AZUAY
opa_ecomm_essentials.city00000010,CHORDELEG,AZUAY
opa_ecomm_essentials.city00000011,CUMBE,AZUAY
opa_ecomm_essentials.city00000012,SANTA ANA (AZ),AZUAY
opa_ecomm_essentials.city00000013,TARQUI (AZ),AZUAY
opa_ecomm_essentials.city00000014,VALLE /AZ),AZUAY
opa_ecomm_essentials.city00000015,VICTORIA DEL PORTETE (IRQUIS),AZUAY
opa_ecomm_essentials.city00000016,EL PAN (AZ),AZUAY
opa_ecomm_essentials.city00000017,GIRON,AZUAY
opa_ecomm_essentials.city00000018,GUACHAPALA,AZUAY
opa_ecomm_essentials.city00000019,GUALACEO,AZUAY
opa_ecomm_essentials.city00000020,PAUTE,AZUAY
opa_ecomm_essentials.city00000021,SAN FERNANDO,AZUAY
opa_ecomm_essentials.city00000022,SANTA ISABEL (CHAGUARURCO),AZUAY
opa_ecomm_essentials.city00000023,SEVILLA DE ORO,AZUAY
opa_ecomm_essentials.city00000024,SIGSIG,AZUAY
opa_ecomm_essentials.city00000025,SAN BARTOLOME,AZUAY
opa_ecomm_essentials.city00000026,COJITAMBO (AZ),AZUAY
opa_ecomm_essentials.city00000027,BIBLIAN,AZUAY
opa_ecomm_essentials.city00000028,NAZON (CAB. EN PAMPA DE DOMINGUEZ),AZUAY
opa_ecomm_essentials.city00000029,CAÑAR (AZ),AZUAY
opa_ecomm_essentials.city00000030,DUCUR,AZUAY
opa_ecomm_essentials.city00000031,DELEG,AZUAY
opa_ecomm_essentials.city00000032,EL TAMBO,AZUAY
opa_ecomm_essentials.city00000033,NABON,AZUAY
opa_ecomm_essentials.city00000034,SUSCAL,AZUAY
opa_ecomm_essentials.city00000035,GUARANDA,BOLIVAR
opa_ecomm_essentials.city00000036,SAN JOSE DE CHIMBO,BOLIVAR
opa_ecomm_essentials.city00000037,GUANUJO,BOLIVAR
opa_ecomm_essentials.city00000038,SALINAS (BO),BOLIVAR
